"Page","Capacity","Color(s)","Image"
"Axia Happy Colors","80","red, orange, green, blue, purple","discs:axia:axia_happy_colors_80_front.jpg"
"Axia Major Hits","60","orange, blue, grey",":discs:axia:major-hits-60_disc-f.jpg"
"Axia MD HP 80 A","80","blue",":discs:axia:md-blank_axia_md_hp-80a_disc_front_.jpg"
"Axia MD-im Select Your Style 74","74","pattern",":discs:axia:md-imc-74_disc-f.jpg"
"Axia MD-im Select Your Style 80","80","pattern",":discs:axia:md-imc-k-80_disc-f.jpg"
"Axia MD BOX","74","yellow, green, blue, pink",":discs:20221019_000532.jpg"
"Axia MD J'Z (Judy & Mary)","74","yellow, green, blue, pink, black",":discs:axia:md-jz-74_disc-f.jpg"
"Axia MD J'Za","74","yellow, green, blue",":discs:axia:md_blank_axia_md_j-za_green_disc_front_.jpg"
"Axia MD PRO","74","black",":discs:axia:md-blank_axia_pro-74_disc_front_.jpg"
"Axia MD PS (Pure Sound - 1st Series)","74","blue",":discs:axia:md_blank_axia_ps-74_series1_disc_front_.jpg"
"Axia MD PS (Pure Sound - 2nd Series)","60","blue, clear",":discs:axia:md_blank_axia_ps-60_series2_disc_front_.jpg"
"Axia MD S","74","grey",":discs:axia:md-blank_axia_md-s-74_disc_front_.jpg"
"Axia MD C","74","grey",":discs:axia:md-blank_axia_mdc-74_disc_front_.jpg"
"Axia SlimCase (1st Series)","74","yellow, green, blue, pink, purple","discs:axia:axia_slimcase_serie_md74_front.jpg"
"Axia MD PS (Pure Sound - 3rd Series?)","80","red, green, blue",":discs:dsc_1747.jpg"
"BASF Maxima 74","74","black",":discs:basf:md-blank_basf_maxima-74_disc_front_.jpg"
"Can-Do MD 74","","red, orange, yellow, green, blue",":discs:can-do:md-blank_can-do_md-74_blue_disc_front_.jpg"
"Com Alliance Chum 80","80","red, orange, green, blue",":discs:dsc_1789.jpg"
"Daiso Cube Mix","74","orange, yellow, green, blue, purple, pattern","discs:daiso:img_5049.jpeg"
"Daiso Natural Series","74","green, blue, pink, purple, white","discs:daiso:img_5051.jpeg"
"Daiso Natural Sound","80","red, blue, black",":discs:daiso:md-blank_daiso_natural-sound-80_blue_disc_front_.jpg"
"Daiso Ocean Series","74","orange, green, blue",":discs:daiso:md-blank_daiso-ocean-74_orange_disc_front_.jpg"
"Daiso Master Series","74","red, yellow, green, blue, purple",":discs:daiso:md-blank_daiso-74_green_disc_front_.jpg"
"Daiso Master Series","80","red, blue","discs:daiso_master_series_80_front.jpg"
"Daiso MD74","74","blue","discs:daiso_md_74_front.jpg"
"Denon CMD-Z","74","white, clear",":discs:denon:md-blank_denon_cmd_z-74_disc_front_.jpg"
"Denon Lapisia (Blue Shutter)","74","yellow, green, blue, pink, purple",":discs:denon:md-blank_denon_lapisia-74_pink_disc_front_.jpg"
"Fuji MD74","74","black",":discs:20221113_000326.jpg"
"HHb MD80","80","purple",":discs:hhb:hhbmd80_discfront.png"
"HiSpace 74","74","red, green, white",":discs:hispace:md74_red-disc-f.jpg"
"HiSpace (Treble Key)","74","green, blue, pink, purple, grey",":discs:hispace:md-blank_hi-space_musicnote-74_blue_disc_front_.jpg"
"Hi SPACE MD74","74","orange",":discs:20221113_000129.jpg"
"JC 74","74","red",":discs:jc:md-blank_jc-74_red_disc_front_.jpg"
"JVC MD74 Crystal","74","blue, purple",":discs:20231129_172733.jpg"
"JVC MD-74VB","74","yellow",":discs:jvc:md-74vb_disc-t.jpeg"
"KAO MD-74","74","yellow, blue, pink, grey",":discs:kao:md-blank_kao_kmd-74b_disc_front_.jpg"
"Keep MD PRO 74","74","clear",":discs:keep:md-blank_keep_pro-74_disc_front_.jpg"
"Konica MD74S","74","clear",":discs:konica:md-blank_konica-74s_disc_front_.jpg"
"LG MD Digital Audio 74","74","white, clear",":discs:lg_md_front.jpeg"
"Maxell Billiard colors","80","orange, yellow, green, blue, pink","discs:maxell:maxell_billiard_colors_m80_front.jpg"
"Maxell burari","80","clear",":discs:maxell:md-blank_maxell_burari-74_disc_front_.jpg"
